City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Mahebourg,MU,2020-02-23 14:40:30,-20.41,57.7,82.4,78,75,4.7
128,Port Macquarie,AU,2020-02-23 14:40:28,-31.43,152.92,68.0,94,75,6.93
129,Khor,RU,2020-02-23 14:40:31,47.89,134.95,5.11,95,98,3.4
130,Esperance,AU,2020-02-23 14:40:31,-33.87,121.9,66.2,88,75,13.87
131,Podyuga,RU,2020-02-23 14:40:32,61.09,40.86,32.86,96,100,12.08
132,Araouane,ML,2020-02-23 14:40:32,18.9,-3.53,97.65,5,51,13.85
133,Talnakh,RU,2020-02-23 14:40:33,69.49,88.4,12.2,92,75,33.55
134,Chapayevka,UA,2020-02-23 14:40:33,47.47,36.35,39.38,73,100,19.08
135,Kilindoni,TZ,2020-02-23 14:40:33,-7.91,39.67,84.87,75,92,18.5
136,Haines Junction,CA,2020-02-23 14:40:34,60.75,-137.51,4.37,96,100,6.06
137,Hami,CN,2020-02-23 14:40:34,42.8,93.45,31.86,52,57,3.91
138,Mehamn,NO,2020-02-23 14:40:35,71.04,27.85,30.22,95,70,6.64
139,Souillac,MU,2020-02-23 14:40:35,-20.52,57.52,82.4,78,75,4.7
140,Ambon,ID,2020-02-23 14:40:36,-3.7,128.18,81.84,79,63,9.17
141,Hithadhoo,MV,2020-02-23 14:40:36,-0.6,73.08,82.9,80,100,10.92
142,Carutapera,BR,2020-02-23 14:40:36,-1.2,-46.02,81.36,81,98,11.83
143,Tomatlan,MX,2020-02-23 14:40:37,19.93,-105.25,76.59,46,0,1.61
144,Egvekinot,RU,2020-02-23 14:40:37,66.32,-179.17,-31.86,93,2,1.81
145,Itarema,BR,2020-02-23 14:40:38,-2.92,-39.92,83.5,81,97,6.78
146,Pevek,RU,2020-02-23 14:40:38,69.7,170.31,-10.8,97,100,3.0
147,Sao Raimundo Nonato,BR,2020-02-23 14:40:38,-9.02,-42.7,86.9,60,17,5.32
148,Sioux Lookout,CA,2020-02-23 14:40:39,50.1,-91.92,23.0,73,75,3.36
149,Dawei,MM,2020-02-23 14:40:39,14.08,98.2,81.41,74,67,9.66
