City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
81,81,Khatanga,RU,2020-02-24 02:58:36,71.97,102.5,19.26,93,100,18.66,light snow,0.0,0.63
82,82,Port Alfred,ZA,2020-02-24 02:54:05,-33.59,26.89,57.99,82,0,3.47,clear sky,0.0,0.0
83,83,Tuatapere,NZ,2020-02-24 02:58:37,-46.13,167.68,66.99,58,18,15.01,few clouds,0.0,0.0
84,84,Salalah,OM,2020-02-24 02:58:37,17.02,54.09,73.4,73,20,2.24,few clouds,0.0,0.0
85,85,Romita,MX,2020-02-24 02:58:38,20.87,-101.52,69.8,35,40,6.93,scattered clouds,0.0,0.0
86,86,Kaitangata,NZ,2020-02-24 02:58:39,-46.28,169.85,64.99,66,86,7.0,overcast clouds,0.0,0.0
87,87,Chokurdakh,RU,2020-02-24 02:58:39,70.63,147.92,-20.76,97,85,3.24,overcast clouds,0.0,0.0
88,88,Bandarbeyla,SO,2020-02-24 02:58:40,9.49,50.81,77.14,76,96,16.13,overcast clouds,0.0,0.0
89,89,Englewood,US,2020-02-24 02:58:40,39.65,-104.99,39.2,64,90,5.61,overcast clouds,0.0,0.0
90,90,Tasiilaq,GL,2020-02-24 02:58:41,65.61,-37.64,6.8,71,0,2.24,clear sky,0.0,0.0
91,91,Ugoofaaru,MV,2020-02-24 02:58:42,5.67,73.0,83.16,77,54,17.81,light rain,0.25,0.0
92,92,Lipin Bor,RU,2020-02-24 02:58:42,60.26,37.98,31.77,96,100,8.93,light snow,0.0,0.25
93,93,Champaign,US,2020-02-24 02:58:42,40.13,-88.2,46.99,86,1,4.7,clear sky,0.0,0.0
94,94,Fortuna,US,2020-02-24 02:58:43,40.6,-124.16,50.0,93,90,9.17,overcast clouds,0.0,0.0
95,95,Tiksi,RU,2020-02-24 02:58:43,71.69,128.87,-5.73,87,97,7.96,overcast clouds,0.0,0.0
96,96,Saskylakh,RU,2020-02-24 02:58:44,71.92,114.08,6.91,92,76,8.81,broken clouds,0.0,0.0
97,97,Geraldton,AU,2020-02-24 02:58:44,-28.77,114.6,84.2,66,0,11.41,light rain,0.31,0.0
98,98,Yekaterinovka,RU,2020-02-24 02:58:45,52.05,44.35,30.36,95,88,11.34,light snow,0.0,0.38
99,99,Astana,KZ,2020-02-24 02:56:48,51.18,71.45,10.4,92,90,4.47,fog,0.0,0.0
100,100,Gotsu,JP,2020-02-24 02:58:46,35.0,132.22,55.4,50,0,3.36,clear sky,0.0,0.0
